game_id,game_date,gamepage_url,game_name,teamA,teamB,if_video,video_heading,video_page,game_rem_time,current_score,is-home-team,data-is-scoring,video_link,if_video_downloaded,video_id
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Jump Ball Adebayo Vs. Howard: Tip To James,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=4&GameID=0041900404&Season=2019-20&flag=1&title=Jump%20Ball%20Adebayo%20vs.%20Howard:%20Tip%20to%20James,12:00,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/4/f97ef30d-406d-12f9-b457-02919ff5aceb_1280x720.mp4,False,f97ef30d-406d-12f9-b457-02919ff5aceb
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,MISS Davis 9' Fadeaway Jumper,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=7&GameID=0041900404&Season=2019-20&flag=1&title=MISS%20Davis%209%27%20Fadeaway%20Jumper,11:46,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/7/25bf0a79-9bd4-b825-4e8d-bd3f9f37e247_1280x720.mp4,False,25bf0a79-9bd4-b825-4e8d-bd3f9f37e247
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Howard REBOUND (Off:1 Def:0),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=8&GameID=0041900404&Season=2019-20&flag=1&title=Howard%20REBOUND%20(Off:1%20Def:0),11:44,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/8/8d8d8a58-277f-13dc-0328-3c04a6e45142_1280x720.mp4,False,8d8d8a58-277f-13dc-0328-3c04a6e45142
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Howard Bad Pass Turnover (P1.T1),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=9&GameID=0041900404&Season=2019-20&flag=1&title=Howard%20Bad%20Pass%20Turnover%20(P1.T1),11:41,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/9/1a187793-459a-3bf8-be98-081b5042de89_1280x720.mp4,False,1a187793-459a-3bf8-be98-081b5042de89
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Herro STEAL (1 STL),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=9&GameID=0041900404&Season=2019-20&flag=1&title=Herro%20STEAL%20(1%20STL),11:41,,True,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/9/1a187793-459a-3bf8-be98-081b5042de89_1280x720.mp4,False,1a187793-459a-3bf8-be98-081b5042de89
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Adebayo 2' Running Layup (2 PTS) (Herro 1 AST),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=11&GameID=0041900404&Season=2019-20&flag=1&title=Adebayo%202%27%20Running%20Layup%20(2%20PTS)%20(Herro%201%20AST),11:38,0 - 2,True,True,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/11/c40fe47a-a9ae-fca5-fc3e-f391c4a193ba_1280x720.mp4,False,c40fe47a-a9ae-fca5-fc3e-f391c4a193ba
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Davis 1' Cutting Dunk Shot (2 PTS) (Caldwell-Pope 1 AST),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=13&GameID=0041900404&Season=2019-20&flag=1&title=Davis%201%27%20Cutting%20Dunk%20Shot%20(2%20PTS)%20(Caldwell-Pope%201%20AST),11:19,2 - 2,False,True,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/13/fb2ffedd-568d-5dfa-a512-8feff087a148_1280x720.mp4,False,fb2ffedd-568d-5dfa-a512-8feff087a148
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,False,HEAT Turnover: Shot Clock (T#1),,10:50,,True,False,,False,
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,Caldwell-Pope Out Of Bounds - Bad Pass Turnover Turnover (P1.T2),https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=16&GameID=0041900404&Season=2019-20&flag=1&title=Caldwell-Pope%20Out%20of%20Bounds%20-%20Bad%20Pass%20Turnover%20Turnover%20(P1.T2),10:39,,False,False,https://videos.nba.com/nba/pbp/media/2020/10/06/0041900404/16/dc2c556e-5aa5-57b3-3153-01ce05da1fbf_1280x720.mp4,False,dc2c556e-5aa5-57b3-3153-01ce05da1fbf
/game/lal-vs-mia-0041900404,2020-10-06,https://www.nba.com/game/lal-vs-mia-0041900404/play-by-play?period=All,Lakers vs Heat 2020-10-06,Lakers,Heat,True,MISS Robinson 26' 3PT Pullup Jump Shot,https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=17&GameID=0041900404&Season=2019-20&flag=1&title=MISS%20Robinson%2026%27%203PT%20Pullup%20Jump%20Shot,10:27,,True,False,,False,
